,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30,2008-09-30,2007-09-30,2006-09-30
Total Assets,359241000000.0,364980000000.0,352583000000.0,352755000000.0,351002000000.0,323888000000.0,338516000000.0,365725000000.0,375319000000.0,321686000000.0,290479000000.0,231839000000.0,207000000000.0,176064000000.0,116371000000.0,75183000000.0,53851000000.0,39572000000.0,25347000000.0,17205000000.0
Current Assets,147957000000.0,152987000000.0,143566000000.0,135405000000.0,134836000000.0,143713000000.0,162819000000.0,131339000000.0,128645000000.0,106869000000.0,89378000000.0,68531000000.0,73286000000.0,57653000000.0,44988000000.0,41678000000.0,36265000000.0,34690000000.0,21956000000.0,14509000000.0
Cash And Cash Equivalents,33539000000.0,29943000000.0,29965000000.0,23646000000.0,34940000000.0,38016000000.0,48844000000.0,25913000000.0,20289000000.0,20484000000.0,21120000000.0,13844000000.0,14259000000.0,10746000000.0,9815000000.0,11261000000.0,5263000000.0,11875000000.0,9352000000.0,6392000000.0
Inventory,5718000000.0,7286000000.0,6331000000.0,4946000000.0,6580000000.0,4061000000.0,4106000000.0,3956000000.0,4855000000.0,2132000000.0,2349000000.0,2111000000.0,1764000000.0,791000000.0,776000000.0,1051000000.0,455000000.0,509000000.0,346000000.0,270000000.0
Accounts Receivable,72957000000.0,66243000000.0,29508000000.0,28184000000.0,26278000000.0,16120000000.0,22926000000.0,23186000000.0,2093000000.0,527000000.0,417000000.0,4232000000.0,2172000000.0,5551000000.0,5369000000.0,5510000000.0,3361000000.0,2422000000.0,4029000000.0,2845000000.0
Total Non Current Assets,211284000000.0,211993000000.0,209017000000.0,217350000000.0,216166000000.0,180175000000.0,175697000000.0,234386000000.0,246674000000.0,214817000000.0,201101000000.0,163308000000.0,133714000000.0,118411000000.0,71383000000.0,33505000000.0,17586000000.0,4882000000.0,3391000000.0,2696000000.0
Net PPE,61039000000.0,55914000000.0,43715000000.0,42117000000.0,39440000000.0,36766000000.0,37378000000.0,41304000000.0,33783000000.0,27010000000.0,22471000000.0,20624000000.0,16597000000.0,15452000000.0,7777000000.0,4768000000.0,2954000000.0,2455000000.0,1832000000.0,1281000000.0
accumulatedDepreciationAmortizationPPE,,,,72340000000.0,70283000000.0,66760000000.0,58579000000.0,49099000000.0,41293000000.0,34235000000.0,26786000000.0,18391000000.0,11922000000.0,6435000000.0,3991000000.0,2466000000.0,1713000000.0,1292000000.0,1009000000.0,794000000.0
intangibleAssets,,,,,,,,,2298000000.0,3206000000.0,3893000000.0,4142000000.0,4179000000.0,4224000000.0,3536000000.0,342000000.0,247000000.0,285000000.0,299000000.0,139000000.0
intangibleAssetsExcludingGoodwill,,,,,,,,,2298000000.0,3206000000.0,3893000000.0,4142000000.0,4179000000.0,4224000000.0,3536000000.0,342000000.0,247000000.0,285000000.0,299000000.0,139000000.0
goodwill,,,,,,,,,5717000000.0,5414000000.0,5116000000.0,4616000000.0,1577000000.0,1135000000.0,896000000.0,741000000.0,206000000.0,207000000.0,38000000.0,38000000.0
investments,,,,,,,,,,,,,,,,,,,,
longTermInvestments,77723000000.0,91479000000.0,100544000000.0,120805000000.0,127877000000.0,100887000000.0,105341000000.0,170799000000.0,194714000000.0,170430000000.0,164065000000.0,130162000000.0,106215000000.0,92122000000.0,55618000000.0,25391000000.0,10528000000.0,,,
shortTermInvestments,21158000000.0,35228000000.0,31590000000.0,24658000000.0,27699000000.0,52927000000.0,51713000000.0,40388000000.0,53892000000.0,46671000000.0,20481000000.0,11233000000.0,26287000000.0,18383000000.0,16137000000.0,14359000000.0,18201000000.0,12615000000.0,6034000000.0,3718000000.0
otherCurrentAssets,14585000000.0,14287000000.0,14695000000.0,21223000000.0,14111000000.0,11264000000.0,12352000000.0,12087000000.0,13936000000.0,8283000000.0,9539000000.0,9806000000.0,6882000000.0,6458000000.0,4529000000.0,3447000000.0,6884000000.0,5822000000.0,996000000.0,469000000.0
otherNonCurrentAssets,,,,,,,,,,,,,,,,,,,,
