,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30,2008-09-30,2007-09-30,2006-09-30
Operating Cash Flow,111482000000.0,118254000000.0,110543000000.0,122151000000.0,104038000000.0,80674000000.0,69391000000.0,77434000000.0,63598000000.0,65824000000.0,81266000000.0,59713000000.0,53666000000.0,50856000000.0,37529000000.0,18595000000.0,10159000000.0,9596000000.0,5470000000.0,2220000000.0
paymentsForOperatingActivities,,,,,,,,,,,,,,,,,,,,
proceedsFromOperatingActivities,,,,,,,,,,,,,,,,,,,,
changeInOperatingLiabilities,,,,,,,,,,,,,,,,,,,,
changeInOperatingAssets,,,,,,,,,,,,,,,,,,,,
Depreciation And Amortization,11698000000.0,11445000000.0,11519000000.0,11104000000.0,11284000000.0,11056000000.0,12547000000.0,10903000000.0,10157000000.0,10505000000.0,11257000000.0,7946000000.0,6757000000.0,3277000000.0,1814000000.0,1027000000.0,703000000.0,473000000.0,317000000.0,225000000.0
Capital Expenditure,12715000000.0,9447000000.0,10959000000.0,10708000000.0,11085000000.0,7309000000.0,10495000000.0,13313000000.0,12451000000.0,12734000000.0,11247000000.0,9571000000.0,8165000000.0,8295000000.0,4260000000.0,2005000000.0,1144000000.0,1091000000.0,735000000.0,657000000.0
Change In Receivables,,,-417000000.0,-9343000000.0,-14028000000.0,8470000000.0,3176000000.0,-13332000000.0,-6347000000.0,1044000000.0,611000000.0,-6452000000.0,-1949000000.0,-6965000000.0,-1791000000.0,-4860000000.0,-939000000.0,,,
Change In Inventory,1400000000.0,-1046000000.0,-1618000000.0,1484000000.0,-2642000000.0,-127000000.0,-289000000.0,828000000.0,-2723000000.0,217000000.0,-238000000.0,-76000000.0,-973000000.0,-15000000.0,275000000.0,-596000000.0,54000000.0,-163000000.0,-76000000.0,-105000000.0
profitLoss,,,,,,,,,,,,,,,,,,,,
Investing Cash Flow,15195000000.0,2935000000.0,3705000000.0,-22354000000.0,-14545000000.0,-4289000000.0,45896000000.0,16066000000.0,-46446000000.0,-45977000000.0,-56274000000.0,-22579000000.0,-33774000000.0,-48227000000.0,-40419000000.0,-13854000000.0,-17434000000.0,-8189000000.0,-3249000000.0,357000000.0
Financing Cash Flow,-120686000000.0,-121983000000.0,-108488000000.0,-110749000000.0,-93353000000.0,-86820000000.0,-90976000000.0,-87876000000.0,-17347000000.0,-20483000000.0,-17716000000.0,-37549000000.0,-16379000000.0,-1698000000.0,1444000000.0,1257000000.0,663000000.0,1116000000.0,739000000.0,324000000.0
proceedsFromRepaymentsOfShortTermDebt,,,,,,,,,,,,,,,,,,,,
Stock Repurchase,,,,,,,,,,,,,,,,,,,,
paymentsForRepurchaseOfEquity,,,,,,,,,,,,,,,,,,,,
paymentsForRepurchaseOfPreferredStock,,,,,,,,,,,,,,,,,,,,
Cash Dividends Paid,15421000000.0,15234000000.0,15025000000.0,14841000000.0,14467000000.0,14081000000.0,14119000000.0,13712000000.0,12769000000.0,12150000000.0,11561000000.0,11126000000.0,10564000000.0,2488000000.0,,,,,,
Preferred Dividends Paid,,,,,,,,,,,,,,,,,,,,
proceedsFromIssuanceOfCommonStock,,,,,,,,,,,,,,,,,,,,
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,,,,,,,,,,,,,,,,,,,,
proceedsFromIssuanceOfPreferredStock,,,,,,,,,,,,,,,,,,,,
proceedsFromRepurchaseOfEquity,-90711000000.0,-94949000000.0,-77550000000.0,-89402000000.0,-85971000000.0,-72358000000.0,-66897000000.0,-72738000000.0,-32900000000.0,-29722000000.0,-35253000000.0,-45000000000.0,-22860000000.0,665000000.0,831000000.0,912000000.0,475000000.0,-124000000.0,-3000000.0,-355000000.0
proceedsFromSaleOfTreasuryStock,,,,,,,,,,,,,,,,,,,,
Changes In Cash,,,5760000000.0,-10952000000.0,-3860000000.0,-10435000000.0,24311000000.0,5624000000.0,-195000000.0,-636000000.0,7276000000.0,-415000000.0,3513000000.0,931000000.0,-1446000000.0,5998000000.0,-6612000000.0,2523000000.0,2960000000.0,2901000000.0
changeInExchangeRate,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing Operations,112010000000.0,93736000000.0,96995000000.0,99803000000.0,94680000000.0,57411000000.0,55256000000.0,59531000000.0,48351000000.0,45687000000.0,53394000000.0,39510000000.0,37037000000.0,41733000000.0,25922000000.0,14013000000.0,5704000000.0,4834000000.0,3496000000.0,1989000000.0
Free Cash Flow,98767000000.0,108807000000.0,99584000000.0,111443000000.0,92953000000.0,73365000000.0,58896000000.0,64121000000.0,51147000000.0,53090000000.0,70019000000.0,50142000000.0,45501000000.0,42561000000.0,33269000000.0,16590000000.0,9015000000.0,8505000000.0,4735000000.0,1563000000.0
