,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30
reportedCurrency,,,,,
Total Assets,359241000000.0,364980000000.0,352583000000.0,352755000000.0,351002000000.0
Current Assets,147957000000.0,152987000000.0,143566000000.0,135405000000.0,134836000000.0
Cash And Cash Equivalents,33539000000.0,29943000000.0,29965000000.0,23646000000.0,34940000000.0
cashAndShortTermInvestments,33539000000.0,29943000000.0,29965000000.0,23646000000.0,34940000000.0
Inventory,5718000000.0,7286000000.0,6331000000.0,4946000000.0,6580000000.0
Accounts Receivable,72957000000.0,66243000000.0,29508000000.0,28184000000.0,26278000000.0
totalNonCurrentAssets,211284000000.0,211993000000.0,209017000000.0,217350000000.0,216166000000.0
Net PPE,61039000000.0,55914000000.0,43715000000.0,42117000000.0,39440000000.0
accumulatedDepreciationAmortizationPPE,,,,72340000000.0,70283000000.0
intangibleAssets,,,,,
intangibleAssetsExcludingGoodwill,,,,,
goodwill,,,,,
investments,,,,,
longTermInvestments,77723000000.0,91479000000.0,100544000000.0,120805000000.0,127877000000.0
shortTermInvestments,21158000000.0,35228000000.0,31590000000.0,24658000000.0,27699000000.0
otherCurrentAssets,14585000000.0,14287000000.0,14695000000.0,21223000000.0,14111000000.0
otherNonCurrentAssets,,,,,
Total Liabilities Net Minority Interest,285508000000.0,308030000000.0,290437000000.0,302083000000.0,287912000000.0
Current Liabilities,165631000000.0,176392000000.0,145308000000.0,153982000000.0,125481000000.0
currentAccountsPayable,69860000000.0,68960000000.0,62611000000.0,64115000000.0,54763000000.0
deferredRevenue,,,,,
currentDebt,,,,,
Current Debt,22446000000.0,22511000000.0,15807000000.0,21110000000.0,15613000000.0
totalNonCurrentLiabilities,119877000000.0,131638000000.0,145129000000.0,148101000000.0,162431000000.0
capitalLeaseObligations,,,12842000000.0,12411000000.0,11803000000.0
Long Term Debt,78328000000.0,85750000000.0,95281000000.0,98959000000.0,109106000000.0
currentLongTermDebt,20329000000.0,20879000000.0,15807000000.0,21110000000.0,15613000000.0
longTermDebtNoncurrent,,,,,
Total Debt,112377000000.0,119059000000.0,111947000000.0,120881000000.0,124719000000.0
otherCurrentLiabilities,64270000000.0,50071000000.0,58829000000.0,60845000000.0,47493000000.0
otherNonCurrentLiabilities,41549000000.0,36634000000.0,49848000000.0,49142000000.0,28636000000.0
Stockholders Equity,73733000000.0,56950000000.0,62146000000.0,50672000000.0,63090000000.0
treasuryStock,,,,,
Retained Earnings,-14264000000.0,-19154000000.0,-214000000.0,-3068000000.0,5562000000.0
Common Stock,93568000000.0,83276000000.0,73812000000.0,64849000000.0,57365000000.0
commonStockSharesOutstanding,15004697000.0,15408095000.0,15812547000.0,16325819000.0,16864919000.0
