,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30
reportedCurrency,,,,,
Operating Cash Flow,111482000000.0,118254000000.0,110543000000.0,122151000000.0,104038000000.0
paymentsForOperatingActivities,,,,,
proceedsFromOperatingActivities,,,,,
changeInOperatingLiabilities,,,,,
changeInOperatingAssets,,,,,
depreciationDepletionAndAmortization,11698000000.0,11445000000.0,11519000000.0,11104000000.0,11284000000.0
Capital Expenditure,12715000000.0,9447000000.0,10959000000.0,10708000000.0,11085000000.0
changeInReceivables,,,-417000000.0,-9343000000.0,-14028000000.0
changeInInventory,1400000000.0,-1046000000.0,-1618000000.0,1484000000.0,-2642000000.0
profitLoss,,,,,
Investing Cash Flow,15195000000.0,2935000000.0,3705000000.0,-22354000000.0,-14545000000.0
Financing Cash Flow,-120686000000.0,-121983000000.0,-108488000000.0,-110749000000.0,-93353000000.0
proceedsFromRepaymentsOfShortTermDebt,,,,,
paymentsForRepurchaseOfCommonStock,,,,,
paymentsForRepurchaseOfEquity,,,,,
paymentsForRepurchaseOfPreferredStock,,,,,
Cash Dividends Paid,15421000000.0,15234000000.0,15025000000.0,14841000000.0,14467000000.0
dividendPayoutCommonStock,15421000000.0,15234000000.0,15025000000.0,14841000000.0,14467000000.0
dividendPayoutPreferredStock,,,,,
proceedsFromIssuanceOfCommonStock,,,,,
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,,,,,
proceedsFromIssuanceOfPreferredStock,,,,,
proceedsFromRepurchaseOfEquity,-90711000000.0,-94949000000.0,-77550000000.0,-89402000000.0,-85971000000.0
proceedsFromSaleOfTreasuryStock,,,,,
Changes In Cash,,,5760000000.0,-10952000000.0,-3860000000.0
changeInExchangeRate,,,,,
Net Income From Continuing Operations,112010000000.0,93736000000.0,96995000000.0,99803000000.0,94680000000.0
