,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30
reportedCurrency,,,,,
Gross Profit,195201000000.0,180683000000.0,169148000000.0,170782000000.0,152836000000.0
Total Revenue,416161000000.0,391035000000.0,383285000000.0,394328000000.0,365817000000.0
Cost Of Revenue,220960000000.0,210352000000.0,214137000000.0,223546000000.0,212981000000.0
costofGoodsAndServicesSold,220960000000.0,210352000000.0,214137000000.0,223546000000.0,212981000000.0
Operating Income,133050000000.0,123216000000.0,114301000000.0,119437000000.0,108949000000.0
Selling General And Administration,27601000000.0,26097000000.0,24932000000.0,25094000000.0,21973000000.0
Research And Development,34550000000.0,31370000000.0,29915000000.0,26251000000.0,21914000000.0
Operating Expense,62151000000.0,57467000000.0,54847000000.0,51573000000.0,43887000000.0
investmentIncomeNet,,,,,
netInterestIncome,,0.0,-183000000.0,-106000000.0,198000000.0
Interest Income,,0.0,3750000000.0,2825000000.0,2843000000.0
Interest Expense,,0.0,3933000000.0,2931000000.0,2645000000.0
nonInterestIncome,,,,,
otherNonOperatingIncome,,,-382000000.0,334000000.0,258000000.0
depreciation,,,,,
Reconciled Depreciation,11698000000.0,11445000000.0,11519000000.0,11104000000.0,11284000000.0
Pretax Income,132729000000.0,123485000000.0,113736000000.0,119103000000.0,109207000000.0
Tax Provision,20719000000.0,29749000000.0,16741000000.0,19300000000.0,14527000000.0
interestAndDebtExpense,,,,,
netIncomeFromContinuingOperations,112010000000.0,93736000000.0,96995000000.0,99803000000.0,94680000000.0
comprehensiveIncomeNetOfTax,,,,,
EBIT,132729000000.0,123216000000.0,114301000000.0,119437000000.0,111852000000.0
EBITDA,144427000000.0,134661000000.0,125820000000.0,130541000000.0,123136000000.0
Net Income From Continuing Operations,112010000000.0,93736000000.0,96995000000.0,99803000000.0,94680000000.0
