,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30
reportedCurrency,,,,,
Total Assets,619003000000.0,512163000000.0,411976000000.0,364840000000.0,333779000000.0
Current Assets,191131000000.0,159734000000.0,184257000000.0,169684000000.0,184406000000.0
Cash And Cash Equivalents,30242000000.0,18315000000.0,34704000000.0,13931000000.0,14224000000.0
cashAndShortTermInvestments,30242000000.0,18315000000.0,34704000000.0,13931000000.0,14224000000.0
Inventory,938000000.0,1246000000.0,2500000000.0,3742000000.0,2636000000.0
Accounts Receivable,69905000000.0,56924000000.0,48688000000.0,44261000000.0,38043000000.0
totalNonCurrentAssets,427872000000.0,352429000000.0,227719000000.0,195156000000.0,149373000000.0
Net PPE,229789000000.0,154552000000.0,109987000000.0,87546000000.0,70803000000.0
accumulatedDepreciationAmortizationPPE,,,,,
intangibleAssets,22604000000.0,27597000000.0,9366000000.0,11298000000.0,7800000000.0
intangibleAssetsExcludingGoodwill,22604000000.0,27597000000.0,9366000000.0,11298000000.0,7800000000.0
goodwill,119509000000.0,119220000000.0,67886000000.0,67524000000.0,49711000000.0
investments,,,,,
longTermInvestments,15133000000.0,14600000000.0,9879000000.0,6891000000.0,5984000000.0
shortTermInvestments,64323000000.0,57216000000.0,76558000000.0,90826000000.0,116110000000.0
otherCurrentAssets,25723000000.0,26033000000.0,21807000000.0,16924000000.0,13393000000.0
otherNonCurrentAssets,,,,,
Total Liabilities Net Minority Interest,275524000000.0,243686000000.0,205753000000.0,198298000000.0,191791000000.0
Current Liabilities,141218000000.0,125286000000.0,104149000000.0,95082000000.0,88657000000.0
currentAccountsPayable,27724000000.0,21996000000.0,18095000000.0,19000000000.0,15163000000.0
deferredRevenue,,,,,
currentDebt,,,,,
Current Debt,2999000000.0,8942000000.0,5247000000.0,2749000000.0,8072000000.0
totalNonCurrentLiabilities,134306000000.0,118400000000.0,101604000000.0,103216000000.0,103134000000.0
capitalLeaseObligations,17437000000.0,15497000000.0,12728000000.0,11489000000.0,9629000000.0
Long Term Debt,40152000000.0,42688000000.0,41990000000.0,47032000000.0,50074000000.0
currentLongTermDebt,2999000000.0,8942000000.0,5247000000.0,2749000000.0,8072000000.0
longTermDebtNoncurrent,,,,,
Total Debt,60588000000.0,67127000000.0,59965000000.0,61270000000.0,67775000000.0
otherCurrentLiabilities,45940000000.0,31749000000.0,29906000000.0,27795000000.0,23897000000.0
otherNonCurrentLiabilities,45186000000.0,27064000000.0,17981000000.0,15526000000.0,13427000000.0
Stockholders Equity,343479000000.0,268477000000.0,206223000000.0,166542000000.0,141988000000.0
treasuryStock,,,,,
Retained Earnings,237731000000.0,173144000000.0,118848000000.0,84281000000.0,57055000000.0
Common Stock,109095000000.0,100923000000.0,93718000000.0,86939000000.0,83111000000.0
commonStockSharesOutstanding,7465000000.0,7469000000.0,7472000000.0,7540000000.0,7608000000.0
