,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30
reportedCurrency,,,,,
Operating Cash Flow,136162000000.0,118548000000.0,87582000000.0,89035000000.0,76740000000.0
paymentsForOperatingActivities,,,,,
proceedsFromOperatingActivities,,,,,
changeInOperatingLiabilities,,,,,
changeInOperatingAssets,,,,,
depreciationDepletionAndAmortization,34153000000.0,22287000000.0,13861000000.0,14460000000.0,11686000000.0
Capital Expenditure,64551000000.0,44477000000.0,28107000000.0,23886000000.0,20622000000.0
changeInReceivables,,,,-6834000000.0,-6481000000.0
changeInInventory,309000000.0,1284000000.0,1242000000.0,-1123000000.0,-737000000.0
profitLoss,,,,,
Investing Cash Flow,-72599000000.0,-96970000000.0,-22680000000.0,-30311000000.0,-27577000000.0
Financing Cash Flow,-51699000000.0,-37757000000.0,-43935000000.0,-58876000000.0,-48486000000.0
proceedsFromRepaymentsOfShortTermDebt,,,,,
paymentsForRepurchaseOfCommonStock,,,,,
paymentsForRepurchaseOfEquity,,,,,
paymentsForRepurchaseOfPreferredStock,,,,,
Cash Dividends Paid,24082000000.0,21771000000.0,19800000000.0,18135000000.0,16521000000.0
dividendPayoutCommonStock,24082000000.0,21771000000.0,19800000000.0,18135000000.0,16521000000.0
dividendPayoutPreferredStock,,,,,
proceedsFromIssuanceOfCommonStock,,,,,
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,,,,,
proceedsFromIssuanceOfPreferredStock,,,,,
proceedsFromRepurchaseOfEquity,-18420000000.0,-17254000000.0,-22245000000.0,-32696000000.0,-27385000000.0
proceedsFromSaleOfTreasuryStock,,,,,
Changes In Cash,,,,-152000000.0,648000000.0
changeInExchangeRate,,,,,-29000000.0
Net Income From Continuing Operations,101832000000.0,88136000000.0,72361000000.0,72738000000.0,61271000000.0
