,2025-06-30,2024-06-30,2023-06-30,2022-06-30,2021-06-30
reportedCurrency,,,,,
Gross Profit,193893000000.0,171008000000.0,146052000000.0,135620000000.0,115856000000.0
Total Revenue,281724000000.0,245122000000.0,211915000000.0,198270000000.0,168088000000.0
Cost Of Revenue,87831000000.0,74114000000.0,65863000000.0,62650000000.0,52232000000.0
costofGoodsAndServicesSold,87831000000.0,74114000000.0,65863000000.0,62650000000.0,52232000000.0
Operating Income,128528000000.0,109433000000.0,88523000000.0,83383000000.0,69916000000.0
Selling General And Administration,7223000000.0,7609000000.0,7575000000.0,5900000000.0,5107000000.0
Research And Development,32488000000.0,29510000000.0,27195000000.0,24512000000.0,20716000000.0
Operating Expense,65365000000.0,61575000000.0,57529000000.0,52237000000.0,45940000000.0
investmentIncomeNet,,,,,
netInterestIncome,262000000.0,222000000.0,1026000000.0,31000000.0,-215000000.0
Interest Income,767000000.0,3157000000.0,1041000000.0,2094000000.0,2131000000.0
Interest Expense,2385000000.0,2935000000.0,1968000000.0,2063000000.0,2346000000.0
nonInterestIncome,,,,,
otherNonOperatingIncome,,,,333000000.0,1186000000.0
depreciation,,,,,
Reconciled Depreciation,34153000000.0,22287000000.0,13861000000.0,14460000000.0,11686000000.0
Pretax Income,123627000000.0,107787000000.0,89311000000.0,83716000000.0,71102000000.0
Tax Provision,21795000000.0,19651000000.0,16950000000.0,10978000000.0,9831000000.0
interestAndDebtExpense,,,,,
netIncomeFromContinuingOperations,101832000000.0,88136000000.0,72361000000.0,72738000000.0,61271000000.0
comprehensiveIncomeNetOfTax,,,,,
EBIT,126012000000.0,110722000000.0,91279000000.0,85779000000.0,73448000000.0
EBITDA,160165000000.0,133009000000.0,105140000000.0,100239000000.0,85134000000.0
Net Income,101832000000.0,88136000000.0,72361000000.0,72738000000.0,61271000000.0
