,2025-01-31,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Total Assets,111601000000.0,65728000000.0,41182000000.0,44187000000.0,28791000000.0
Current Assets,80126000000.0,44345000000.0,23073000000.0,28829000000.0,16055000000.0
Cash And Cash Equivalents,8589000000.0,7280000000.0,3389000000.0,1990000000.0,847000000.0
Inventory,10080000000.0,5282000000.0,5159000000.0,2605000000.0,1826000000.0
Accounts Receivable,23065000000.0,9999000000.0,3827000000.0,4650000000.0,2429000000.0
Total Non Current Assets,31475000000.0,21383000000.0,18109000000.0,15358000000.0,12736000000.0
Net PPE,,,3807000000.0,3607000000.0,2149000000.0
accumulatedDepreciationAmortizationPPE,,,,,
intangibleAssets,807000000.0,1112000000.0,1676000000.0,2339000000.0,2737000000.0
intangibleAssetsExcludingGoodwill,807000000.0,1112000000.0,1676000000.0,2339000000.0,2737000000.0
goodwill,5188000000.0,4430000000.0,4372000000.0,4349000000.0,4193000000.0
investments,,,,,
longTermInvestments,3387000000.0,1546000000.0,299000000.0,266000000.0,144000000.0
shortTermInvestments,34621000000.0,18704000000.0,9907000000.0,19218000000.0,10714000000.0
otherCurrentAssets,3771000000.0,3080000000.0,791000000.0,366000000.0,239000000.0
otherNonCurrentAssets,,,,,
Total Liabilities Net Minority Interest,32274000000.0,22750000000.0,19081000000.0,17575000000.0,11898000000.0
Current Liabilities,18047000000.0,10631000000.0,6563000000.0,4335000000.0,3925000000.0
currentAccountsPayable,6310000000.0,2699000000.0,1193000000.0,1783000000.0,1201000000.0
deferredRevenue,,,,,
currentDebt,,,,,
Current Debt,,1250000000.0,1250000000.0,,999000000.0
Total Non Current Liabilities,14227000000.0,12119000000.0,12518000000.0,13240000000.0,7973000000.0
capitalLeaseObligations,1807000000.0,1347000000.0,902000000.0,741000000.0,634000000.0
Long Term Debt,,,,,
Total Debt,10270000000.0,11056000000.0,11855000000.0,11687000000.0,7597000000.0
otherCurrentLiabilities,10612000000.0,5690000000.0,3766000000.0,2108000000.0,1437000000.0
otherNonCurrentLiabilities,79000000.0,65000000.0,1913000000.0,1553000000.0,2009000000.0
Stockholders Equity,79327000000.0,42978000000.0,22101000000.0,26612000000.0,16893000000.0
treasuryStock,,,,,-10756000000.0
Retained Earnings,68038000000.0,29817000000.0,10171000000.0,16235000000.0,18908000000.0
Common Stock,24000000.0,2000000.0,2000000.0,3000000.0,1000000.0
Shares Outstanding,24804000000.0,24940000000.0,25070000000.0,25350000000.0,25120000000.0
