,2025-01-31,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Operating Cash Flow,64089000000.0,28090000000.0,5641000000.0,9108000000.0,5822000000.0
paymentsForOperatingActivities,,,,,
proceedsFromOperatingActivities,,,,,
changeInOperatingLiabilities,,,,,
changeInOperatingAssets,,,,,
Depreciation And Amortization,1864000000.0,1508000000.0,1544000000.0,1174000000.0,1098000000.0
Capital Expenditure,3236000000.0,1069000000.0,1833000000.0,976000000.0,1128000000.0
Change In Receivables,,,822000000.0,-2215000000.0,-550000000.0
Change In Inventory,-4781000000.0,-98000000.0,-2554000000.0,-774000000.0,-524000000.0
profitLoss,,,,,
Investing Cash Flow,-20421000000.0,-10566000000.0,7375000000.0,-9830000000.0,-19675000000.0
Financing Cash Flow,-42359000000.0,-13633000000.0,-11617000000.0,1865000000.0,3804000000.0
proceedsFromRepaymentsOfShortTermDebt,,,,,
Stock Repurchase,,,,,
paymentsForRepurchaseOfEquity,,,,,
paymentsForRepurchaseOfPreferredStock,,,,,
Cash Dividends Paid,834000000.0,395000000.0,398000000.0,399000000.0,395000000.0
Preferred Dividends Paid,,,,,
proceedsFromIssuanceOfCommonStock,,,,,
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,,,,,
proceedsFromIssuanceOfPreferredStock,,,,,
proceedsFromRepurchaseOfEquity,-33706000000.0,-9533000000.0,-10039000000.0,-1904000000.0,-942000000.0
proceedsFromSaleOfTreasuryStock,,,,,
Changes In Cash,,,1399000000.0,1143000000.0,-10049000000.0
changeInExchangeRate,,,,,
Net Income From Continuing Operations,72880000000.0,29760000000.0,4368000000.0,9752000000.0,4332000000.0
Free Cash Flow,60853000000.0,27021000000.0,3808000000.0,8132000000.0,4694000000.0
