,2025-01-31,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Gross Profit,97858000000.0,44301000000.0,15356000000.0,17475000000.0,10396000000.0
Total Revenue,130497000000.0,60922000000.0,26974000000.0,26914000000.0,16675000000.0
Cost Of Revenue,32639000000.0,16621000000.0,11618000000.0,9439000000.0,6279000000.0
Operating Income,81453000000.0,32972000000.0,4224000000.0,10041000000.0,4532000000.0
Selling General And Administration,3491000000.0,2654000000.0,2440000000.0,2166000000.0,1940000000.0
Research And Development,12914000000.0,8675000000.0,7339000000.0,5268000000.0,3924000000.0
Operating Expense,16405000000.0,11329000000.0,11132000000.0,7434000000.0,5864000000.0
investmentIncomeNet,,,,,
netInterestIncome,1539000000.0,609000000.0,5000000.0,-207000000.0,-127000000.0
Interest Income,1786000000.0,866000000.0,267000000.0,29000000.0,57000000.0
Interest Expense,247000000.0,257000000.0,262000000.0,236000000.0,184000000.0
nonInterestIncome,,,,,
otherNonOperatingIncome,,,219000000.0,136000000.0,61000000.0
depreciation,,,,,
Depreciation And Amortization,1864000000.0,1508000000.0,1543000000.0,1174000000.0,1098000000.0
Pretax Income,84026000000.0,33818000000.0,4181000000.0,9941000000.0,4409000000.0
Tax Provision,11146000000.0,4058000000.0,-187000000.0,189000000.0,77000000.0
interestAndDebtExpense,,,,,
netIncomeFromContinuingOperations,72880000000.0,29760000000.0,4368000000.0,9752000000.0,4332000000.0
comprehensiveIncomeNetOfTax,,,,,
EBIT,84273000000.0,34075000000.0,4443000000.0,10177000000.0,4593000000.0
EBITDA,86137000000.0,35583000000.0,5986000000.0,11351000000.0,5691000000.0
Net Income,72880000000.0,29760000000.0,4368000000.0,9752000000.0,4332000000.0
