,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Total Assets,122070000000.0,106618000000.0,82338000000.0,62131000000.0,52148000000.0
Current Assets,58360000000.0,49616000000.0,40917000000.0,27100000000.0,26717000000.0
Cash And Cash Equivalents,16139000000.0,16398000000.0,16253000000.0,17576000000.0,19384000000.0
Inventory,12017000000.0,13626000000.0,12839000000.0,5757000000.0,4101000000.0
Accounts Receivable,4418000000.0,3508000000.0,2952000000.0,1913000000.0,1886000000.0
Total Non Current Assets,63716000000.0,57003000000.0,41421000000.0,35031000000.0,25434000000.0
Net PPE,51501000000.0,45123000000.0,36635000000.0,31176000000.0,12747000000.0
accumulatedDepreciationAmortizationPPE,,,,,
intangibleAssets,1226000000.0,362000000.0,399000000.0,1517000000.0,313000000.0
intangibleAssetsExcludingGoodwill,1226000000.0,362000000.0,399000000.0,1517000000.0,313000000.0
goodwill,244000000.0,253000000.0,194000000.0,200000000.0,207000000.0
investments,,,,,
longTermInvestments,,,,,
shortTermInvestments,20424000000.0,12696000000.0,5932000000.0,131000000.0,0.0
otherCurrentAssets,5362000000.0,3388000000.0,2941000000.0,1723000000.0,1346000000.0
otherNonCurrentAssets,,,,,
Total Liabilities Net Minority Interest,48390000000.0,43009000000.0,36440000000.0,31116000000.0,28469000000.0
Current Liabilities,28821000000.0,28748000000.0,26709000000.0,19705000000.0,14248000000.0
currentAccountsPayable,12474000000.0,14431000000.0,15255000000.0,10025000000.0,6051000000.0
deferredRevenue,,,,,
currentDebt,,,,,
Current Debt,2343000000.0,1975000000.0,1016000000.0,1088000000.0,2132000000.0
Total Non Current Liabilities,19569000000.0,14261000000.0,9731000000.0,11411000000.0,14221000000.0
capitalLeaseObligations,5745000000.0,4916000000.0,3703000000.0,3531000000.0,1540000000.0
Long Term Debt,,,,,
Total Debt,13623000000.0,9573000000.0,5748000000.0,8873000000.0,13279000000.0
otherCurrentLiabilities,7556000000.0,6328000000.0,5422000000.0,5719000000.0,2792000000.0
otherNonCurrentLiabilities,1093000000.0,876000000.0,553000000.0,10843000000.0,14170000000.0
Stockholders Equity,72913000000.0,62634000000.0,44704000000.0,30189000000.0,22225000000.0
treasuryStock,,,,,
Retained Earnings,35209000000.0,27882000000.0,12885000000.0,331000000.0,-5399000000.0
Common Stock,3000000.0,3000000.0,3000000.0,1000000.0,1000000.0
Shares Outstanding,3498000000.0,3482750000.0,3475000000.0,3100522833.0,3249000000.0
