,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Operating Cash Flow,14923000000.0,13256000000.0,14724000000.0,11497000000.0,5943000000.0
paymentsForOperatingActivities,,,,,
proceedsFromOperatingActivities,,,,,
changeInOperatingLiabilities,,,,,
changeInOperatingAssets,,,,,
Depreciation And Amortization,5368000000.0,4667000000.0,3543000000.0,2911000000.0,2322000000.0
Capital Expenditure,11342000000.0,8899000000.0,7172000000.0,8014000000.0,3242000000.0
Change In Receivables,,,,130000000.0,-652000000.0
Change In Inventory,937000000.0,-1195000000.0,-6465000000.0,-1709000000.0,-422000000.0
profitLoss,,,,,
Investing Cash Flow,-18787000000.0,-15584000000.0,-11973000000.0,-7868000000.0,-3132000000.0
Financing Cash Flow,3853000000.0,2589000000.0,-3527000000.0,-5203000000.0,9973000000.0
proceedsFromRepaymentsOfShortTermDebt,,,,,
Stock Repurchase,,,,,
paymentsForRepurchaseOfEquity,,,,,
paymentsForRepurchaseOfPreferredStock,,,,,
Cash Dividends Paid,,,,,
Preferred Dividends Paid,,,,,
proceedsFromIssuanceOfCommonStock,,,,,
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,,,,,
proceedsFromIssuanceOfPreferredStock,,,,,
proceedsFromRepurchaseOfEquity,1241000000.0,700000000.0,541000000.0,548000000.0,12502000000.0
proceedsFromSaleOfTreasuryStock,,,,,
Changes In Cash,,,,-1574000000.0,12784000000.0
changeInExchangeRate,,,,,
Net Income From Continuing Operations,7153000000.0,14974000000.0,12556000000.0,5519000000.0,690000000.0
Free Cash Flow,3581000000.0,4357000000.0,7552000000.0,3483000000.0,2701000000.0
