,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Gross Profit,17450000000.0,17660000000.0,20853000000.0,13606000000.0,6630000000.0
Total Revenue,97690000000.0,96773000000.0,81462000000.0,53823000000.0,31536000000.0
Cost Of Revenue,80240000000.0,79113000000.0,60609000000.0,40217000000.0,24906000000.0
Operating Income,7076000000.0,8891000000.0,13656000000.0,6687000000.0,1994000000.0
Selling General And Administration,5150000000.0,4800000000.0,3946000000.0,4517000000.0,3145000000.0
Research And Development,4540000000.0,3969000000.0,3075000000.0,2593000000.0,1491000000.0
Operating Expense,10374000000.0,8769000000.0,7021000000.0,7110000000.0,4636000000.0
investmentIncomeNet,,,,,
netInterestIncome,1219000000.0,910000000.0,106000000.0,-315000000.0,-718000000.0
Interest Income,1569000000.0,1066000000.0,41000000.0,56000000.0,30000000.0
Interest Expense,350000000.0,156000000.0,191000000.0,371000000.0,748000000.0
nonInterestIncome,,,,,
otherNonOperatingIncome,,,,191000000.0,
depreciation,,,,,
Depreciation And Amortization,5368000000.0,4667000000.0,3543000000.0,2911000000.0,2322000000.0
Pretax Income,8990000000.0,9973000000.0,13719000000.0,6343000000.0,1154000000.0
Tax Provision,1837000000.0,-5001000000.0,1132000000.0,699000000.0,292000000.0
interestAndDebtExpense,,,,,
netIncomeFromContinuingOperations,7153000000.0,14974000000.0,12587000000.0,5644000000.0,862000000.0
comprehensiveIncomeNetOfTax,,,,,
EBIT,9340000000.0,10129000000.0,14290000000.0,6687000000.0,1902000000.0
EBITDA,14708000000.0,14796000000.0,17833000000.0,9598000000.0,4224000000.0
Net Income,7130000000.0,14974000000.0,12587000000.0,5644000000.0,721000000.0
