,2025,2024,2023,2022,2021
Revenue,416161000000.0,391035000000.0,383285000000.0,394328000000.0,
Gross Profit,195201000000.0,180683000000.0,169148000000.0,170782000000.0,
Operating Income,133050000000.0,123216000000.0,114301000000.0,119437000000.0,
Net Income,112010000000.0,93736000000.0,96995000000.0,99803000000.0,
EPS,7.49,6.11,6.16,6.15,
Total Assets,359241000000.0,364980000000.0,352583000000.0,352755000000.0,
Total Liabilities,285508000000.0,308030000000.0,290437000000.0,302083000000.0,
Total Equity,73733000000.0,56950000000.0,62146000000.0,50672000000.0,
Total Debt,98657000000.0,106629000000.0,111088000000.0,132480000000.0,
Cash,35934000000.0,29943000000.0,29965000000.0,23646000000.0,
Current Assets,147957000000.0,152987000000.0,143566000000.0,135405000000.0,
Current Liabilities,165631000000.0,176392000000.0,145308000000.0,153982000000.0,
Operating Cash Flow,111482000000.0,118254000000.0,110543000000.0,122151000000.0,
Capital Expenditure,-12715000000.0,-9447000000.0,-10959000000.0,-10708000000.0,
Free Cash Flow,98767000000.0,108807000000.0,99584000000.0,111443000000.0,
Dividends Paid,-15421000000.0,-15234000000.0,-15025000000.0,-14841000000.0,
