,2025,2024,2023,2022,2021
Gross Margin (%),46.91,46.21,44.13,43.31,
Operating Margin (%),31.97,31.51,29.82,30.29,
Net Profit Margin (%),26.92,23.97,25.31,25.31,
ROE (%),151.91,164.59,156.08,196.96,
ROA (%),31.18,25.68,27.51,28.29,
Debt to Equity,1.34,1.87,1.79,2.61,
Debt to Assets,0.27,0.29,0.32,0.38,
Equity Ratio,0.21,0.16,0.18,0.14,
Current Ratio,0.89,0.87,0.99,0.88,
Cash Ratio,0.22,0.17,0.21,0.15,
Asset Turnover,1.16,1.07,1.09,1.12,
FCF Margin (%),23.73,27.83,25.98,28.26,
OCF to Net Income,1.0,1.26,1.14,1.22,
Revenue Growth (%),6.43,2.02,-2.8,,
Net Income Growth (%),19.5,-3.36,-2.81,,
EPS Growth (%),22.59,-0.81,0.16,,
Free Cash Flow Growth (%),-9.23,9.26,-10.64,,
